county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Alameda,2020-04-14,403,115,91,85,0
Alpine,2020-04-14,0,0,0,0,0
Amador,2020-04-14,0,0,0,0,0
Butte,2020-04-14,65,65,0,0,0
Calaveras,2020-04-14,0,0,0,0,0
Colusa,2020-04-14,0,0,0,0,0
Contra Costa,2020-04-14,340,3,0,0,0
Del Norte,2020-04-14,0,0,0,0,0
El Dorado,2020-04-14,0,0,0,0,0
Fresno,2020-04-14,305,250,28,0,0
Glenn,2020-04-14,0,0,0,0,0
Humboldt,2020-04-14,0,0,15,0,0
Imperial,2020-04-14,36,0,0,0,0
Inyo,2020-04-14,10,1,0,0,0
Kern,2020-04-14,2,2,15,15,0
Kings,2020-04-14,0,0,0,0,0
Lake,2020-04-14,10,10,0,0,0
Lassen,2020-04-14,1,1,0,0,0
Los Angeles,2020-04-14,2654,535,658,654,0
Madera,2020-04-14,0,0,0,0,0
Marin,2020-04-14,80,43,44,0,0
Mariposa,2020-04-14,44,3,0,0,0
Mendocino,2020-04-14,103,63,0,0,0
Merced,2020-04-14,10,0,0,0,0
Mono,2020-04-14,48,1,0,0,0
Modoc,2020-04-14,10,0,0,0,0
Monterey,2020-04-14,0,0,108,0,0
Napa,2020-04-14,0,0,18,0,0
Nevada,2020-04-14,27,0,0,0,0
Orange,2020-04-14,276,9,78,74,0
Placer,2020-04-14,15,15,0,0,0
Plumas,2020-04-14,0,0,0,0,0
Riverside,2020-04-14,422,303,15,15,0
Sacramento,2020-04-14,316,63,63,63,0
San Benito,2020-04-14,0,0,3,0,0
San Bernardino,2020-04-14,0,0,20,0,20
San Diego,2020-04-14,2029,409,35,35,0
San Francisco,2020-04-14,1012,327,0,0,0
San Joaquin,2020-04-14,0,0,0,0,0
San Luis Obispo,2020-04-14,154,4,14,14,0
San Mateo,2020-04-14,94,94,0,0,0
Santa Barbara,2020-04-14,0,0,10,0,0
Santa Clara,2020-04-14,453,170,105,105,0
Santa Cruz,2020-04-14,27,17,35,0,0
Shasta,2020-04-14,2,2,0,0,0
Sierra,2020-04-14,0,0,0,0,0
Siskiyou,2020-04-14,0,0,6,0,0
Solano,2020-04-14,0,0,0,0,0
Sonoma,2020-04-14,45,45,0,0,0
Stanislaus,2020-04-14,0,0,0,0,0
Sutter,2020-04-14,16,16,0,0,0
Tehama,2020-04-14,0,0,5,5,0
Trinity,2020-04-14,10,0,0,0,0
Tulare,2020-04-14,23,0,0,0,0
Tuolumne,2020-04-14,0,0,0,0,0
Ventura,2020-04-14,398,275,0,0,0
Yolo,2020-04-14,146,119,0,0,0
Yuba,2020-04-14,30,18,0,0,0
Alameda,2020-04-15,403,132,91,85,0
Alpine,2020-04-15,0,0,0,0,0
Amador,2020-04-15,0,0,0,0,0
Butte,2020-04-15,65,65,0,0,0
Calaveras,2020-04-15,0,0,0,0,0
Colusa,2020-04-15,0,0,0,0,0
Contra Costa,2020-04-15,340,3,0,0,0
Del Norte,2020-04-15,0,0,0,0,0
El Dorado,2020-04-15,0,0,0,0,0
Fresno,2020-04-15,305,250,28,0,0
Glenn,2020-04-15,0,0,0,0,0
Humboldt,2020-04-15,0,0,15,0,0
Imperial,2020-04-15,36,0,0,0,0
Inyo,2020-04-15,10,1,0,0,0
Kern,2020-04-15,2,2,15,15,0
Kings,2020-04-15,0,0,0,0,0
Lake,2020-04-15,10,10,0,0,0
Lassen,2020-04-15,1,1,0,0,0
Los Angeles,2020-04-15,2426,593,658,654,0
Madera,2020-04-15,0,0,0,0,0
Marin,2020-04-15,80,43,44,0,0
Mariposa,2020-04-15,44,3,0,0,0
Mendocino,2020-04-15,103,63,0,0,0
Merced,2020-04-15,10,0,0,0,0
Mono,2020-04-15,48,1,0,0,0
Modoc,2020-04-15,10,0,0,0,0
Monterey,2020-04-15,0,0,108,0,0
Napa,2020-04-15,0,0,18,0,0
Nevada,2020-04-15,27,0,0,0,0
Orange,2020-04-15,276,9,78,74,0
Placer,2020-04-15,15,15,0,0,0
Plumas,2020-04-15,0,0,0,0,0
Riverside,2020-04-15,422,303,15,15,0
Sacramento,2020-04-15,316,63,63,63,0
San Benito,2020-04-15,0,0,3,0,0
San Bernardino,2020-04-15,0,0,20,0,20
San Diego,2020-04-15,2029,409,35,35,0
San Francisco,2020-04-15,1012,751,0,0,0
San Joaquin,2020-04-15,0,0,0,0,0
San Luis Obispo,2020-04-15,154,4,14,14,0
San Mateo,2020-04-15,94,94,0,0,0
Santa Barbara,2020-04-15,0,0,10,0,0
Santa Clara,2020-04-15,453,170,105,105,0
Santa Cruz,2020-04-15,27,17,35,0,0
Shasta,2020-04-15,2,2,0,0,0
Sierra,2020-04-15,0,0,0,0,0
Siskiyou,2020-04-15,0,0,6,0,0
Solano,2020-04-15,0,0,0,0,0
Sonoma,2020-04-15,45,45,0,0,0
Stanislaus,2020-04-15,0,0,0,0,0
Sutter,2020-04-15,16,16,0,0,0
Tehama,2020-04-15,0,0,5,5,0
Trinity,2020-04-15,10,0,0,0,0
Tulare,2020-04-15,23,0,0,0,0
Tuolumne,2020-04-15,0,0,0,0,0
Ventura,2020-04-15,398,275,0,0,0
Yolo,2020-04-15,146,119,0,0,0
Yuba,2020-04-15,30,18,0,0,0
Alameda,2020-04-16,403,210,91,85,0
Alpine,2020-04-16,0,0,0,0,0
Amador,2020-04-16,0,0,0,0,0
Butte,2020-04-16,71,71,0,0,0
Calaveras,2020-04-16,20,20,0,0,0
Colusa,2020-04-16,0,0,0,0,0
Contra Costa,2020-04-16,340,3,0,0,0
Del Norte,2020-04-16,0,0,0,0,0
El Dorado,2020-04-16,0,0,0,0,0
Fresno,2020-04-16,305,250,28,28,0
Glenn,2020-04-16,0,0,0,0,0
Humboldt,2020-04-16,44,11,15,0,0
Imperial,2020-04-16,36,0,0,0,0
Inyo,2020-04-16,10,1,0,0,0
Kern,2020-04-16,2,2,15,15,0
Kings,2020-04-16,0,0,0,0,0
Lake,2020-04-16,10,10,0,0,0
Lassen,2020-04-16,1,1,0,0,0
Los Angeles,2020-04-16,2654,707,658,654,0
Madera,2020-04-16,0,0,0,0,0
Marin,2020-04-16,112,65,44,0,0
Mariposa,2020-04-16,44,3,0,0,0
Mendocino,2020-04-16,128,82,0,0,0
Merced,2020-04-16,10,0,0,0,0
Mono,2020-04-16,48,1,0,0,0
Modoc,2020-04-16,10,0,0,0,0
Monterey,2020-04-16,0,0,108,0,0
Napa,2020-04-16,104,47,18,0,0
Nevada,2020-04-16,27,0,0,0,0
Orange,2020-04-16,276,11,78,76,0
Placer,2020-04-16,15,15,0,0,0
Plumas,2020-04-16,0,0,0,0,0
Riverside,2020-04-16,422,303,15,15,0
Sacramento,2020-04-16,316,63,63,63,0
San Benito,2020-04-16,0,0,3,0,0
San Bernardino,2020-04-16,50,37,20,0,20
San Diego,2020-04-16,2029,409,45,45,0
San Francisco,2020-04-16,1271,748,0,0,0
San Joaquin,2020-04-16,0,0,0,0,0
San Luis Obispo,2020-04-16,154,4,14,14,0
San Mateo,2020-04-16,94,94,0,0,0
Santa Barbara,2020-04-16,76,0,0,0,0
Santa Clara,2020-04-16,453,170,105,105,0
Santa Cruz,2020-04-16,27,19,35,0,0
Shasta,2020-04-16,20,0,0,0,0
Sierra,2020-04-16,0,0,0,0,0
Siskiyou,2020-04-16,0,0,6,0,0
Solano,2020-04-16,0,0,0,0,0
Sonoma,2020-04-16,45,45,0,0,0
Stanislaus,2020-04-16,121,1,0,0,0
Sutter,2020-04-16,16,16,0,0,0
Tehama,2020-04-16,0,0,5,5,0
Trinity,2020-04-16,10,0,0,0,0
Tulare,2020-04-16,23,0,0,0,0
Tuolumne,2020-04-16,0,0,0,0,0
Ventura,2020-04-16,398,275,0,0,0
Yolo,2020-04-16,246,206,0,0,0
Yuba,2020-04-16,30,18,0,0,0
Alameda,2020-04-17,403,299,91,85,0
